timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
199928,232.812,5.001801,8.272711e+07,145,1,-82,1349,15.92,93,-2,-43,74,-1323,4781,698,849,813,759
231226,234.72,4.324773,8.292703e+07,101,-20,-58,1321,15.991,61,-12,-29,-104,-871,4246,688,836,712,679
170298,234.72,5.87206,8.315826e+07,92,-29,-63,1303,15.858,60,-23,-33,-74,-881,3556,661,788,718,613
199697,234.036,5.007586,8.332856e+07,41,-33,-42,1287,15.911,24,-18,-27,-204,-802,3345,591,809,729,521
199791,231.66,5.00523,8.352826e+07,29,-14,-26,1266,16.009,10,-14,-15,-345,-665,2863,562,675,722,534
189866,228.348,5.266872,8.372805e+07,69,-20,-41,1296,15.956,44,-13,-22,-500,-643,3317,649,741,719,616
11143,228.348,89.74244,8.391791e+07,79,-13,-35,1287,15.938,50,-7,-18,-507,-798,3202,626,754,681,594
229304,221.904,4.361023,8.392906e+07,79,-12,-35,1287,15.92,49,-5,-19,-526,-822,3179,616,743,716,581
170094,221.904,5.879102,8.415836e+07,65,-29,-22,1296,15.938,38,-20,-15,-663,-943,3329,605,749,778,593
200594,198.036,4.985194,8.432845e+07,65,-16,-29,1291,15.92,42,-9,-13,-734,-840,3237,633,711,694,647
200470,198.036,4.988278,8.452905e+07,112,0,-85,1276,16,78,3,-50,-740,-898,2913,593,733,669,575
199586,185.22,5.010371,8.472952e+07,130,0,-96,1267,15.982,84,0,-52,-674,-1080,2768,569,690,687,553
230433,162.9,4.339656,8.49291e+07,131,-14,-104,1266,16.009,90,-10,-58,-611,-1195,2875,538,740,701,514
169856,162.9,5.88734,8.515954e+07,135,-47,-137,1287,15.947,77,-32,-78,-356,-1132,3234,601,706,746,604
200508,151.812,4.987332,8.532939e+07,175,-58,-152,1315,15.831,116,-42,-90,-195,-1267,3649,648,723,851,658
200494,142.056,4.98768,8.55299e+07,212,-45,-162,1336,15.778,151,-26,-100,-113,-1299,4393,638,865,892,643
200094,133.092,4.997651,8.573039e+07,211,-35,-158,1389,15.893,145,-40,-88,36,-1168,5281,877,941,898,737
230608,118.908,4.336363,8.593049e+07,180,-42,-131,1359,15.787,116,-32,-76,17,-603,4715,743,914,836,720
170270,118.908,5.873025,8.61611e+07,166,-45,-123,1321,15.831,107,-39,-66,-24,-471,4006,732,754,727,702
199886,107.892,5.002852,8.633137e+07,160,-38,-129,1283,15.938,109,-27,-74,-111,-320,3291,647,724,642,608
200725,103.32,4.98194,8.653125e+07,156,-31,-129,1275,15.947,108,-18,-72,-155,-295,3049,644,672,626,625
