timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
293855,144.072,3.403039,9.575019e+07,101,-3,-65,1421,1.577,48,-1,-47,692,-2363,10277,738,824,1058,859
97705,112.716,10.23489,9.604405e+07,115,-1,-33,1496,1.56,85,-2,-27,-93,-2047,13359,1002,977,1039,1070
200046,97.2,4.99885,9.615396e+07,115,-1,-20,1501,1.569,77,-4,-20,-50,-2017,13592,1040,945,1042,1102
408199,74.448,2.449786,9.635401e+07,82,-16,-8,1513,1.56,55,-8,-8,-643,-2722,13439,1008,1012,1067,1140
199790,60.624,5.005256,9.755377e+07,197,-1,-146,1284,1.613,134,-4,-74,117,-5431,5532,480,595,722,567
294045,94.212,3.40084,9.775356e+07,190,-1,-151,1291,1.613,135,-6,-72,603,-3966,7153,448,706,874,394
110100,124.272,9.082652,9.804761e+07,42,87,-93,1273,1.613,25,61,-51,-168,-1764,6312,443,715,672,445
200204,157.572,4.994905,9.815771e+07,28,90,-73,1270,1.613,18,56,-38,-151,-1488,5943,471,740,656,384
200113,184.104,4.997177,9.835791e+07,49,92,-19,1349,1.595,12,58,0,137,-1566,7819,489,833,1030,541
199931,201.42,5.001726,9.855802e+07,64,34,5,1455,1.586,24,34,-13,-416,-2500,10131,813,927,985,1030
289983,213.876,3.448478,9.875796e+07,52,0,-1,1570,1.524,34,-2,-8,-858,-2248,15379,1093,1109,1244,1244
109953,221.616,9.094795,9.904794e+07,48,0,25,1653,1.506,43,-3,4,-2090,-2586,17710,1401,1322,1266,1376
191743,227.376,5.215314,9.915789e+07,28,3,39,1655,1.515,19,-2,16,-2001,-2456,17043,1399,1284,1336,1362
200230,137.916,4.994257,9.935778e+07,5,0,35,1683,1.498,-4,-4,12,-2736,-2475,16054,1437,1266,1414,1492
191806,232.56,5.213601,9.955801e+07,-3,0,25,1773,1.444,-5,-1,17,-3480,-1521,13371,1585,1542,1598,1615
