timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse,loopIteration,axisP0,axisP1,axisP2,axisI0,axisI1,axisI2,axisD0,axisD1,axisD2,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,rssi,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3,flightModeFlagsflags,stateFlagsflags,failsafePhaseflags,rxSignalReceived,rxFlightChannelsValid,acceleration_G
0D00:02:39.108874000,17,1.328914,103.7861,36,6.44,171.2,81744,2,0,0,9,-2,14,1,1,0,4,0,-1,2000,1.444,1023,-14,0,-1,-4074,-1856,-3091,1979,1910,1971,2047,,,,1,1,0.1312414
0D00:02:39.308848000,17,1.328909,103.7861,34,4.07,180.4,82136,0,1,0,12,0,12,0,0,0,4,0,-3,2000,1.444,1023,4,-7,1,-3895,-1133,4371,1989,1930,1988,2046,,,,1,1,0.08296577
0D00:02:39.590935000,17,1.328909,103.7861,33,1.16,198.6,82688,0,0,0,11,-1,12,0,1,0,5,0,-3,2000,1.444,1023,0,-4,-1,-4343,-1021,1563,1986,1923,1984,2046,,,,1,1,0.03335585
0D00:02:39.709460000,17,1.328914,103.7861,32,2.68,308.1,82920,0,0,3,9,0,10,0,0,0,7,0,-1,2000,1.444,1023,7,3,-9,-5227,-662,-1620,1992,1919,1972,2047,,,,1,1,0.03237992
0D00:02:39.909688000,17,1.32892,103.7861,31,4.18,319.4,83312,2,0,0,10,-1,13,2,-1,0,34,-4,-3,1985,1.444,1023,7,-3,0,-4280,-2032,-3978,1958,1909,1974,2047,,,,1,1,0.08531631
0D00:02:40.101471000,18,1.32892,103.7861,31,5.68,325.9,83688,-28,-9,9,-11,-10,14,-18,2,0,180,-38,-10,1663,1.551,1023,157,-14,-9,-5552,-16347,-3806,1527,1493,1104,1322,,,,1,1,0.1110426
0D00:02:40.109856000,18,1.328931,103.7861,30,5.68,325.9,83704,-21,-10,26,-14,-11,15,21,0,0,180,-38,-8,1620,1.569,1023,148,-13,-14,-5622,-17596,-3799,1363,1257,1074,1402,,,,1,1,0.004854924
0D00:02:40.309975000,18,1.328944,103.7861,30,7.51,332.3,84096,-18,-14,28,-76,-45,33,13,0,0,148,-7,0,1469,1.595,1023,119,11,-10,-3094,-27676,747,1179,1175,444,1071,,,,1,1,0.1532002
0D00:02:40.591807000,18,1.32896,103.7861,29,9.22,334.3,84648,14,5,37,-96,-81,69,11,3,0,111,-39,-1,1424,1.586,1023,58,-30,-14,-1815,-22979,5941,1138,964,251,1151,,,,1,1,0.2648819
0D00:02:40.710032000,18,1.328981,103.7861,29,10.86,337.3,84880,12,10,6,-83,-70,75,-9,2,0,63,-71,-19,1473,1.577,1023,28,-56,-13,-3338,-19515,7553,1236,1111,429,1124,,,,1,1,0.1308791
0D00:02:40.910237000,18,1.329004,103.7861,29,12.97,340.5,85272,-1,9,21,-62,-50,88,3,7,0,56,-76,-20,1542,1.551,1023,38,-58,-18,-4808,-16961,9509,1452,1077,611,1322,,,,1,1,0.2646951
0D00:02:41.110543000,18,1.32903,103.7861,30,14.16,342.5,85664,7,6,11,-53,-40,104,15,1,0,96,-41,-45,1550,1.542,1023,53,-33,-28,-5506,-14452,9895,1407,1002,697,1422,,,,1,1,0.2891267
0D00:02:41.310708000,18,1.329057,103.7861,30,15.13,344,86056,5,-1,-13,-38,-29,105,5,-5,0,112,-13,-75,1576,1.551,1023,67,-7,-36,-4968,-14217,10976,1385,1118,810,1426,,,,1,1,0.3087152
0D00:02:41.592926000,18,1.329085,103.7861,30,15.99,348.3,86608,7,2,-28,-29,-21,76,-8,-3,0,127,-3,-92,1527,1.577,1023,76,-4,-41,-3054,-14398,11251,1218,1100,843,1179,,,,1,1,0.4600067
0D00:02:41.711338000,18,1.329114,103.7861,30,15.97,353.8,86840,12,1,-33,-24,-17,61,26,-5,0,137,-1,-95,1508,1.569,1023,78,-2,-41,-2324,-13999,10857,1026,997,964,1198,,,,1,1,0.1927665
0D00:02:41.919759000,18,1.329141,103.7861,30,15.77,359.6,87248,11,8,-38,3,-10,33,-4,15,0,168,7,-104,1468,1.586,1023,104,-3,-45,-749,-12074,10225,959,918,1035,948,,,,1,1,0.3350458
0D00:02:42.111601000,18,1.329167,103.7861,30,14.99,6.4,87624,4,6,-33,12,-5,12,0,9,0,170,13,-105,1456,1.595,1023,113,1,-47,303,-11474,11320,878,926,1052,907,,,,1,1,0.2931408
0D00:02:42.311482000,18,1.329191,103.7861,30,14.22,12.6,88016,3,4,-38,17,3,-17,9,0,0,167,10,-102,1452,1.595,1023,111,1,-43,402,-9265,11624,749,973,1157,852,,,,1,1,0.2897358
